customer_id,region,bill_start_month,bill_end_month,product_id,bill_amount,recurring_flag,bill_month
8d693729-788f-4c6c-9cef-a2598d4339df,US,2023-09-08,2024-03-31,1,147.98,1,2023-09-08
8d693729-788f-4c6c-9cef-a2598d4339df,US,2023-10-08,2024-03-31,1,113.89,1,2023-10-08
8d693729-788f-4c6c-9cef-a2598d4339df,US,2023-11-07,2024-03-31,1,166.92,1,2023-11-07
8d693729-788f-4c6c-9cef-a2598d4339df,US,2023-12-07,2024-03-31,1,97.85,1,2023-12-07
8d693729-788f-4c6c-9cef-a2598d4339df,US,2024-01-06,2024-03-31,1,96.25,1,2024-01-06
8d693729-788f-4c6c-9cef-a2598d4339df,US,2024-02-05,2024-03-31,1,182.11,1,2024-02-05
8d693729-788f-4c6c-9cef-a2598d4339df,US,2024-03-06,2024-03-31,1,107.54,1,2024-03-06
8d693729-788f-4c6c-9cef-a2598d4339df,US,2024-01-10,2024-02-17,2,77.4,1,2024-01-10
8d693729-788f-4c6c-9cef-a2598d4339df,US,2024-02-09,2024-02-17,2,163.77,1,2024-02-09
8d693729-788f-4c6c-9cef-a2598d4339df,US,2024-01-29,2024-03-27,3,135.91,1,2024-01-29
8d693729-788f-4c6c-9cef-a2598d4339df,US,2024-02-28,2024-03-27,3,186.07,1,2024-02-28
8d693729-788f-4c6c-9cef-a2598d4339df,US,2024-02-09,2024-06-19,4,72.64,1,2024-02-09
8d693729-788f-4c6c-9cef-a2598d4339df,US,2024-03-10,2024-06-19,4,51.66,1,2024-03-10
8d693729-788f-4c6c-9cef-a2598d4339df,US,2024-04-09,2024-06-19,4,68.0,1,2024-04-09
8d693729-788f-4c6c-9cef-a2598d4339df,US,2024-05-09,2024-06-19,4,126.77,1,2024-05-09
8d693729-788f-4c6c-9cef-a2598d4339df,US,2024-06-08,2024-06-19,4,158.19,1,2024-06-08
8d693729-788f-4c6c-9cef-a2598d4339df,US,2023-05-26,2023-12-15,5,157.3,1,2023-05-26
8d693729-788f-4c6c-9cef-a2598d4339df,US,2023-06-25,2023-12-15,5,136.31,1,2023-06-25
8d693729-788f-4c6c-9cef-a2598d4339df,US,2023-07-25,2023-12-15,5,86.35,1,2023-07-25
8d693729-788f-4c6c-9cef-a2598d4339df,US,2023-08-24,2023-12-15,5,193.16,1,2023-08-24
8d693729-788f-4c6c-9cef-a2598d4339df,US,2023-09-23,2023-12-15,5,163.62,1,2023-09-23
8d693729-788f-4c6c-9cef-a2598d4339df,US,2023-10-23,2023-12-15,5,106.21,1,2023-10-23
8d693729-788f-4c6c-9cef-a2598d4339df,US,2023-11-22,2023-12-15,5,115.07,1,2023-11-22
8d693729-788f-4c6c-9cef-a2598d4339df,US,2023-11-08,2024-03-18,6,61.09,1,2023-11-08
8d693729-788f-4c6c-9cef-a2598d4339df,US,2023-12-08,2024-03-18,6,123.24,1,2023-12-08
8d693729-788f-4c6c-9cef-a2598d4339df,US,2024-01-07,2024-03-18,6,155.32,1,2024-01-07
8d693729-788f-4c6c-9cef-a2598d4339df,US,2024-02-06,2024-03-18,6,104.22,1,2024-02-06
