spend_id,marketing_tactic,spend_month,region,amount
0d550234-05f1-4f9f-b7c7-ab910a796afe,Tactic1,2023-02-01,UK,5203.9
f50d10be-1a63-4cee-9f0c-711b1c0cf48f,Tactic3,2023-08-01,France,3393.35
0ab79b1c-6c95-4c6e-980d-568fa266fa2f,Tactic5,2023-04-01,US,7442.03
fc40bebe-efbb-4414-88ce-7cafa874537a,Tactic4,2023-05-01,UK,9733.96
e50b149e-bc25-4459-a91c-04154b120a36,Tactic2,2023-08-01,Canada,7743.8
3c607f1a-5d66-490f-a741-85b98ee296ec,Tactic5,2023-02-01,US,9788.08
deaf41f3-f38d-49c1-ac43-b49a03c0b796,Tactic1,2023-06-01,Canada,3745.59
051b1e81-e0b2-4496-a96e-6991a1424acd,Tactic4,2023-08-01,Canada,7036.6
1be2eb91-4b36-46f5-8ab0-1b1efd085e8c,Tactic3,2023-02-01,UK,1102.92
b0801f2c-34aa-4c60-8908-bedec08e5be1,Tactic2,2023-11-01,US,2858.17
33e5354b-fdad-4925-b080-24031b2e7f9b,Tactic5,2023-01-01,UK,4141.28
8be7a9bb-665b-430e-8a19-76a951c64262,Tactic2,2023-09-01,US,4984.17
ff0d9612-bfce-4574-98ee-f15b1c97fe07,Tactic5,2023-07-01,France,1783.72
e3fae7f7-c2e6-40cf-842a-d140e23e2a3a,Tactic1,2023-12-01,Canada,9171.68
a9767e62-f3b3-47ab-8fcc-0368a6283312,Tactic3,2023-03-01,Canada,3526.44
d25fd96b-ca29-4a88-9cb9-338429b0f895,Tactic2,2023-08-01,US,7386.15
c50d3241-52a4-4294-9d32-d3f6ed79a9cf,Tactic2,2023-10-01,US,8774.02
f568319a-ec5e-47bb-b0ce-db5b343021c9,Tactic3,2023-12-01,US,4185.85
cdcbcb1e-603f-4885-977a-1348a805bf6a,Tactic2,2023-11-01,UK,1401.46
2cbc90ac-f0bf-443a-80dd-34e071a9e40d,Tactic5,2023-07-01,Canada,5746.32
55b47043-2e1d-4e5c-807a-4800b1d01c90,Tactic1,2023-04-01,US,1624.85
d97014a1-cdab-4afa-977c-ee697a13c811,Tactic4,2023-09-01,UK,6036.82
60d0821b-9713-4eab-b17a-99aef042b40e,Tactic3,2023-08-01,US,6603.9
e368e47e-a277-4abb-a242-aa7c40d282a2,Tactic1,2023-07-01,Canada,3531.48
a98e673c-9aba-4754-8c54-9e41d69b7b1c,Tactic3,2023-08-01,US,5516.4
7265f6fd-e020-48dc-a89a-09b5d685310f,Tactic3,2023-09-01,Canada,7132.16
69db978f-8599-4e91-8b02-9896d6cea1af,Tactic4,2023-08-01,US,9095.98
d2b6d6d3-96ff-4286-a362-cb39e9e5d69f,Tactic1,2023-07-01,Canada,1659.27
3d17b368-de08-46a2-9f07-c2465c08066e,Tactic5,2023-12-01,Canada,3854.49
e7147bd7-d131-46f5-8608-f784b7061a87,Tactic1,2023-09-01,Canada,8655.84
b69bded7-cb79-4724-8631-b9c5b736fd21,Tactic3,2023-11-01,Canada,4108.92
ce56219c-3832-4d23-9998-cb35f7c7f36d,Tactic5,2023-03-01,France,3331.82
b1633c99-d4fe-4e49-80fa-891271d80f69,Tactic4,2023-05-01,UK,7903.85
d91620c8-98cf-48f5-b331-55e7afb88cfb,Tactic4,2023-08-01,UK,9352.88
600f279b-0f1b-4b74-a614-9f0baaef9148,Tactic5,2023-09-01,US,2194.54
0f761e65-6d0e-4b99-a563-6f87ee31bd75,Tactic1,2023-10-01,UK,8316.57
eff9a9df-11ed-49e2-a705-db3a967b4921,Tactic4,2023-04-01,UK,7680.82
a65880a1-12e2-406d-a516-83c415550949,Tactic4,2023-11-01,US,6374.75
f29884f7-0c49-49cb-8f95-79b8d6645130,Tactic5,2023-12-01,US,8614.99
7f84dd18-9752-431b-9dc1-84dab373ac4b,Tactic4,2023-12-01,France,7235.63
200c11cd-e6a3-48ad-b286-88df63d67dc2,Tactic2,2023-03-01,France,5999.62
d2e2d9a3-32d4-47fa-bb8a-775b4757746d,Tactic3,2023-04-01,UK,7691.1
f04d0ec2-d936-4d31-beaa-921589af7b6d,Tactic1,2023-09-01,US,4143.09
fe9da38a-0679-4e19-be1f-e04cf5abe9f7,Tactic5,2023-07-01,Canada,8632.24
bd571df8-70b9-41c5-beb6-7bfd261e0079,Tactic4,2023-06-01,UK,8541.53
4dace64c-c1d6-4758-b858-2cd3f7568eb2,Tactic5,2023-12-01,France,5670.52
a386c747-534d-45ec-b5b5-49e4e22d8b83,Tactic4,2023-04-01,UK,2964.45
c913b176-7e7b-44de-adb8-a9aa72e67bbf,Tactic1,2023-11-01,US,1952.16
2a89497e-02d5-4208-b2d3-588b25fbd104,Tactic2,2023-10-01,France,3915.57
daf35c83-cb71-4866-9f56-f4a6a3dd446e,Tactic3,2023-04-01,Canada,5562.71
289b09b3-c027-462c-b2b1-3a6046274686,Tactic1,2023-04-01,US,6822.61
f16c3e8e-b68d-4fdb-922a-d770521c9de3,Tactic3,2023-07-01,Canada,6076.03
e6418c07-f743-4540-9eb6-8b35d050ca1f,Tactic4,2023-10-01,UK,2297.72
67e6c6c9-6d6f-4a16-905f-55bf70e25b18,Tactic3,2023-08-01,Canada,1863.49
03b19e69-a90d-49b8-b1c8-03a9c28f9da0,Tactic2,2023-05-01,Canada,4989.94
6f82d914-dd75-41ab-b050-bec6d5ddaea1,Tactic4,2023-12-01,France,4310.63
5916b129-1b87-4934-b902-1092f63b0d90,Tactic2,2023-08-01,France,8083.74
d1742f2e-c396-4686-986b-6deef0cec64e,Tactic1,2023-10-01,US,8537.43
fab90743-01ff-40e2-847b-98e8b585d65d,Tactic4,2023-02-01,Canada,2429.33
e24602a3-8089-43c0-9aae-0a9d686dcbfd,Tactic3,2023-01-01,US,3884.59
cc9b83d8-11c4-4879-ad0a-86cc57187b3c,Tactic5,2023-07-01,UK,4644.58
be28137e-eb58-407e-a82c-506f50daa02d,Tactic2,2023-05-01,UK,3428.6
9e646f8b-08e8-4cca-8c0e-43538ffde4d2,Tactic5,2023-11-01,France,9273.19
ac21d3a8-c9ae-46fb-96c6-07d66dd21558,Tactic3,2023-01-01,Canada,9742.81
df0d8980-39d6-4728-a2c8-371eadbc4369,Tactic4,2023-10-01,UK,4756.07
